Crop	Insect	Village	vF	vQ	pollen_capacity
Phaseolus_vulgaris	Apis_cerana	GADI	0.0340425531914894	0.32	95.8975332068311
Phaseolus_vulgaris	Apis_cerana	LORP	0	0	95.8975332068311
Phaseolus_vulgaris	Apis_cerana	LUMA	0.00510204081632653	1	95.8975332068311
Phaseolus_vulgaris	Apis_cerana	PATM	0	0	95.8975332068311
Phaseolus_vulgaris	Apis_cerana	PERE	0	0	95.8975332068311
Phaseolus_vulgaris	Apis_cerana	RINI	0.0206489675516224	0.137254901960784	95.8975332068311
Phaseolus_vulgaris	Apis_cerana	TIRK	0.005	0.166666666666667	95.8975332068311
Phaseolus_vulgaris	Apis_cerana	URTH	0	0	95.8975332068311
Cannabis_sativa	Apis_cerana	CHUM	0.00373134328358209	1	95.8975332068311
Brassica_oleracea	Apis_cerana	LORP	0	0	95.8975332068311
Brassica_oleracea	Apis_cerana	LUMA	0	0	95.8975332068311
